region,incomegroup,foundedyr
Middle East and North Africa,High income,2002
Middle East and North Africa,High income,2004
Middle East and North Africa,High income,2002
Middle East and North Africa,High income,1979
Middle East and North Africa,High income,1979
Latin America and Caribbean,Upper middle income,1970
North America,High income,1965
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1969
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1961
Latin America and Caribbean,Upper middle income,1955
Latin America and Caribbean,Upper middle income,1967
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1972
North America,High income,1963
Latin America and Caribbean,Upper middle income,1966
North America,High income,1967
Middle East and North Africa,Lower middle income,1983
Middle East and North Africa,Lower middle income,1974
Middle East and North Africa,Lower middle income,1974
Middle East and North Africa,Lower middle income,2001
Middle East and North Africa,Lower middle income,2005
Middle East and North Africa,Lower middle income,1986
Middle East and North Africa,Lower middle income,1961
Europe and Central Asia,High income,1995
Middle East and North Africa,Lower middle income,1975
Middle East and North Africa,Lower middle income,1969
Middle East and North Africa,Lower middle income,2011
Middle East and North Africa,Lower middle income,1974
Middle East and North Africa,Lower middle income,1859
Middle East and North Africa,Lower middle income,1995
Europe and Central Asia,High income,1862
Middle East and North Africa,Lower middle income,1985
Middle East and North Africa,Lower middle income,1992
Middle East and North Africa,Lower middle income,1961
Middle East and North Africa,Lower middle income,1986
Europe and Central Asia,High income,1968
Europe and Central Asia,Upper middle income,1968
Europe and Central Asia,Upper middle income,1924
Europe and Central Asia,Upper middle income,1934
Europe and Central Asia,Upper middle income,1959
Europe and Central Asia,High income,1995
Europe and Central Asia,Upper middle income,1910
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,High income,1756
Europe and Central Asia,High income,1711
Europe and Central Asia,High income,2013
Europe and Central Asia,High income,1832
Europe and Central Asia,High income,1927
Europe and Central Asia,High income,1969
Europe and Central Asia,High income,1938
Europe and Central Asia,High income,1836
Europe and Central Asia,High income,2012
Europe and Central Asia,High income,1890
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,1919
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1934
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1906
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,2009
Europe and Central Asia,High income,1834
Europe and Central Asia,High income,1884
Europe and Central Asia,High income,1925
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1959
Latin America and Caribbean,Lower middle income,1964
Latin America and Caribbean,Lower middle income,1993
Europe and Central Asia,High income,1962
Europe and Central Asia,High income,1970
Europe and Central Asia,High income,2000
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,2012
Europe and Central Asia,High income,1919
Europe and Central Asia,High income,1425
Europe and Central Asia,High income,2011
Europe and Central Asia,High income,1896
Europe and Central Asia,High income,1425
Europe and Central Asia,High income,1817
Europe and Central Asia,High income,1834
Europe and Central Asia,High income,1837
Europe and Central Asia,High income,1831
Europe and Central Asia,High income,1958
Europe and Central Asia,High income,1858
Europe and Central Asia,High income,2003
Europe and Central Asia,High income,1663
Europe and Central Asia,High income,1921
Europe and Central Asia,High income,1971
Europe and Central Asia,High income,1817
Europe and Central Asia,High income,1920
Europe and Central Asia,High income,1968
Europe and Central Asia,High income,1971
Europe and Central Asia,High income,1971
Europe and Central Asia,High income,1968
Europe and Central Asia,High income,1953
Europe and Central Asia,High income,1834
Latin America and Caribbean,Upper middle income,1986
Europe and Central Asia,High income,1863
Europe and Central Asia,High income,1959
Latin America and Caribbean,Upper middle income,2003
Latin America and Caribbean,Upper middle income,1952
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1949
Sub-Saharan Africa,Lower middle income,1998
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,1994
Sub-Saharan Africa,Lower middle income,2000
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,1999
Latin America and Caribbean,Upper middle income,1973
Sub-Saharan Africa,Lower middle income,1998
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,2002
Sub-Saharan Africa,Lower middle income,1997
Sub-Saharan Africa,Lower middle income,2002
Sub-Saharan Africa,Lower middle income,1970
Sub-Saharan Africa,Lower middle income,2001
Sub-Saharan Africa,Lower middle income,1992
Sub-Saharan Africa,Lower middle income,1999
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,2005
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2003
Sub-Saharan Africa,Lower middle income,2001
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,2001
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2013
South Asia,Lower middle income,2003
South Asia,Lower middle income,2012
Latin America and Caribbean,Lower middle income,1993
South Asia,Lower middle income,1986
Latin America and Caribbean,Lower middle income,1928
Latin America and Caribbean,Lower middle income,1999
Latin America and Caribbean,Lower middle income,1966
Latin America and Caribbean,Upper middle income,1955
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,2003
Europe and Central Asia,High income,1965
Latin America and Caribbean,Upper middle income,1960
Latin America and Caribbean,Upper middle income,1991
Latin America and Caribbean,Upper middle income,1964
Latin America and Caribbean,Upper middle income,1821
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1962
Latin America and Caribbean,Upper middle income,1959
Latin America and Caribbean,Upper middle income,1960
Latin America and Caribbean,Upper middle income,1986
Latin America and Caribbean,Upper middle income,1838
Latin America and Caribbean,Upper middle income,1965
Latin America and Caribbean,Upper middle income,1978
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1991
Middle East and North Africa,High income,2004
Middle East and North Africa,High income,2002
Middle East and North Africa,High income,1986
Middle East and North Africa,High income,2012
Middle East and North Africa,High income,2008
South Asia,Lower middle income,1995
South Asia,Lower middle income,1994
South Asia,Lower middle income,1996
South Asia,Lower middle income,2004
South Asia,Lower middle income,2001
South Asia,Lower middle income,1965
South Asia,Lower middle income,1983
South Asia,Lower middle income,2001
South Asia,Lower middle income,1961
South Asia,Lower middle income,2005
South Asia,Lower middle income,1992
South Asia,Lower middle income,2003
South Asia,Lower middle income,1846
South Asia,Lower middle income,2008
South Asia,Lower middle income,2008
South Asia,Lower middle income,2001
South Asia,Lower middle income,1968
South Asia,Lower middle income,1996
South Asia,Lower middle income,2002
South Asia,Lower middle income,1995
South Asia,Lower middle income,1980
South Asia,Lower middle income,1998
South Asia,Lower middle income,2002
South Asia,Lower middle income,1992
South Asia,Lower middle income,1976
South Asia,Lower middle income,1993
South Asia,Lower middle income,1997
South Asia,Lower middle income,1995
South Asia,Lower middle income,1991
South Asia,Lower middle income,1981
South Asia,Lower middle income,1858
South Asia,Lower middle income,1970
South Asia,Lower middle income,2007
South Asia,Lower middle income,1967
South Asia,Lower middle income,2001
South Asia,Lower middle income,2002
South Asia,Lower middle income,2003
South Asia,Lower middle income,1992
South Asia,Lower middle income,2002
South Asia,Lower middle income,2001
South Asia,Lower middle income,2002
South Asia,Lower middle income,2003
South Asia,Lower middle income,2003
South Asia,Lower middle income,1964
South Asia,Lower middle income,2003
South Asia,Lower middle income,1987
South Asia,Lower middle income,2003
South Asia,Lower middle income,1938
South Asia,Lower middle income,1998
South Asia,Lower middle income,1994
South Asia,Lower middle income,2002
South Asia,Lower middle income,2006
South Asia,Lower middle income,2001
South Asia,Lower middle income,1992
South Asia,Lower middle income,1996
South Asia,Lower middle income,2003
South Asia,Lower middle income,1964
South Asia,Lower middle income,2002
South Asia,Lower middle income,1999
South Asia,Lower middle income,1921
